Statistic,First Strategy,Second Strategy
Average,22.11111111111111,18.11111111111111
Standard Deviation,4.884783629917615,6.990072325170257
Min,16.0,7.0
Max,30.0,27.0

Demographic Information:
,Gender,Education Level,Language Proficiency,Prefered System
count,9,9,9,9
unique,2,1,1,3
top,F,B1,500-750,CS
freq,7,9,9,5

Observations:











Feedback:










