Statistic,First Strategy,Second Strategy
Average,22.11111111111111,18.11111111111111
Standard Deviation,4.884783629917615,6.990072325170257
Min,16.0,7.0
Max,30.0,27.0

Demographic Information:
,Language Proficiency
count,0.0
mean,
std,
min,
25%,
50%,
75%,
max,

Observations:











Feedback:










