AU,Average,Variance,Std Dev
AU04_R,1.754602626123013,0.1619873809263883,0.4024765594744473
AU05_R,0.06341741534208707,0.015229347308076999,0.12340724171650948
AU06_R,0.6497753973738769,0.20476832146847324,0.4525133384426068
AU07_R,1.8847961299239808,0.5168049186715019,0.7188914512438591
AU09_R,0.08904284727021423,0.02338757299928742,0.15292996109097595
AU10_R,0.19500345542501724,0.0812086933859128,0.28497139046913605
AU12_R,0.10884934346924671,0.027347413865797646,0.1653705350592954
AU14_R,0.02041810642709053,0.03567908541003222,0.18888908229443072
AU15_R,0.22615756738078785,0.1020868552192445,0.3195103366391211
AU17_R,0.69647201105736,0.34072391262803164,0.5837156093750034
AU20_R,0.16718728403593644,0.07102665208850761,0.2665082589499012
AU23_R,0.14840704906703525,0.07603019581617664,0.2757357354718039
AU25_R,0.864689011748445,0.5388718527862335,0.7340789145495418
AU26_R,0.5992121630960607,0.47956598815480783,0.6925070311230117
AU45_R,0.2798617829993089,0.23582984608129962,0.48562315233244346
AU01_R,0.12391040843214757,0.03066525290955902,0.17511497054666406
AU02_R,0.08642951251646903,0.032260864495149755,0.17961309666934022
AU04_R,2.1370592885375497,0.23033578852400607,0.4799331083849145
AU05_R,0.05129644268774704,0.011604697285708036,0.10772510053700593
AU06_R,0.9984295125164692,0.15194202422103273,0.38979741433343645
AU07_R,1.6772042160737812,0.3469428141097899,0.5890185176289366
AU09_R,0.09537022397891962,0.044843056097867574,0.21176179092996822
AU10_R,0.024173913043478264,0.01659569984643946,0.12882429835415157
AU12_R,0.04691436100131753,0.015257450492178554,0.12352105282978507
AU14_R,0.013749670619235838,0.013968303159485574,0.11818757616384885
AU15_R,0.2881554677206851,0.3021674982272127,0.5496976425519876
AU17_R,0.6052516469038209,0.24160074714739244,0.4915289891220989
AU20_R,0.16518050065876155,0.07462376155958059,0.2731735008370698
AU23_R,0.172695652173913,0.10142802411129702,0.3184776665816569
AU25_R,0.4935810276679842,0.24594123190142123,0.4959246232054033
AU26_R,0.42558366271409753,0.2080375809665494,0.4561113690389107
AU45_R,0.27299341238471675,0.21828629278737732,0.4672111864964037
AU01_R,0.10620500000000001,0.019623903950987745,0.1400853452399206
AU02_R,0.076705,0.025313771417854465,0.15910302139762922
AU04_R,1.27346,0.15556852053013254,0.3944217546359893
AU05_R,0.07584500000000001,0.03462824303575894,0.1860866546417527
AU06_R,1.3874549999999999,0.296032181020255,0.5440883944914237
AU07_R,1.6599625,0.3045201036196549,0.5518334020514297
AU09_R,0.0685025,0.020728564634908728,0.14397418044534488
AU10_R,0.609855,0.22148369989997496,0.4706205476814362
AU12_R,0.193445,0.1666218374343586,0.40819338239902736
AU14_R,0.029810000000000003,0.01431984386096524,0.11966555001739324
AU15_R,0.4054975,0.45417944735558885,0.6739283696028747
AU17_R,0.5773625,0.22664783055138785,0.4760754462807212
AU20_R,0.17422749999999998,0.08772208376469115,0.29617914133964796
AU23_R,0.14305500000000002,0.08539321527881973,0.2922211752745166
AU25_R,0.52485,0.3180677944486121,0.563974994524236
AU26_R,0.6161749999999999,0.492555108152038,0.7018227042152726
AU45_R,0.27171749999999995,0.15657481889847458,0.3956953612294117
AU01_R,0.12697247706422018,0.024911351778619154,0.1578333037689421
AU02_R,0.0727650356778797,0.01674302813226995,0.12939485357721903
AU04_R,0.17493374108053006,0.04862133132110144,0.2205024519616538
AU05_R,0.053139653414882776,0.013251521659426113,0.11511525380863352
AU06_R,1.421962283384302,0.19262607453936806,0.43889187112473166
AU07_R,0.99440876656473,0.23423087645639315,0.48397404523010645
AU09_R,0.05523445463812437,0.008775856309388968,0.09367954050585948
AU10_R,0.2868323139653415,0.10037403152245455,0.31681860981081045
AU12_R,0.34981906218144754,0.11747427263169737,0.34274520074203424
AU14_R,0.0038583078491335374,0.0021682858065674524,0.04656485591696223
AU15_R,0.21689092762487255,0.07997014257380154,0.28278992657766566
AU17_R,0.6597782874617738,0.29162113359930963,0.5400195677929732
AU20_R,0.12171508664627931,0.027931572130224458,0.16712741286283486
AU23_R,0.11232415902140674,0.04056324335195636,0.20140318605214855
AU25_R,0.5042329255861365,0.21161335485751065,0.46001451592043335
AU26_R,0.4397375127420999,0.16153709651749285,0.401916778099015
AU45_R,0.1893323139653415,0.0885646318283429,0.2975981045442711
