AU,Average,Variance,Std Dev
AU23_R,0.18167234203556565,0.09577305384110628,0.30947221820561904
AU25_R,0.6146273174423005,0.4794588599196368,0.6924296786819849
AU26_R,0.47209231933409007,0.22999883780245364,0.4795819406550393
AU45_R,0.26117290957245554,0.17200150037105424,0.4147306359205385
AU01_R,0.10682888540031399,0.01804260892435911,0.1343227788737231
AU02_R,0.08839874411302984,0.031998900605751765,0.17888236527324813
AU04_R,1.5533594976452119,0.17233792252623964,0.41513602894261015
AU05_R,0.05704343275771847,0.016885652039309484,0.12994480381804224
AU06_R,1.318707482993197,0.23227503009580797,0.4819491986670462
AU07_R,1.2679173207744636,0.24714162876266094,0.49713341143264644
AU09_R,0.06229722658294087,0.01486608124361303,0.12192654035776226
AU10_R,0.4235740450026165,0.14463596296996448,0.3803103508583016
AU12_R,0.1050601779173208,0.07443883145525627,0.272834806165299
AU14_R,0.013751962323390893,0.005893507031487585,0.07676918021893672
AU15_R,0.26213500784929356,0.1531103084649083,0.3912931234572214
AU17_R,0.46128728414442705,0.12803938915235846,0.35782592017957343
AU20_R,0.11877551020408164,0.035096196174805,0.18733978801846926
AU23_R,0.12984301412872842,0.07668919000221919,0.27692813147497164
AU25_R,0.49428571428571433,0.3413717277486911,0.5842702523222375
AU26_R,0.610784929356358,0.45039163487223327,0.6711122371647185
AU45_R,0.24127158555729986,0.11802335604559987,0.3435452751030057
AU01_R,0.12679522862823064,0.03379760125009687,0.18384123925304918
AU02_R,0.09253677932405566,0.034070730050880085,0.18458258328152222
AU04_R,0.5747833001988071,0.10936561531368671,0.33070472526664435
AU05_R,0.04805566600397614,0.013899996900063423,0.1178982480788558
AU06_R,0.6388230616302186,0.31187864608688354,0.5584609620079846
AU07_R,0.6566202783300198,0.2030616835186178,0.45062366062893083
AU09_R,0.10611530815109343,0.0578894775499746,0.24060232241184748
AU10_R,0.24607952286282306,0.12747714562268395,0.3570394174635119
AU12_R,0.19384095427435388,0.12476447747880261,0.35322015440628896
AU14_R,0.03669980119284295,0.025761101173389256,0.16050265160859262
AU15_R,0.2482982107355865,0.1726576437318808,0.4155209305581138
AU17_R,0.5586163021868787,0.16573754364821414,0.40710876144860125
AU20_R,0.16183697813121273,0.07520267031067374,0.27423105278336685
AU23_R,0.10375745526838968,0.04809482579463553,0.2193053255045019
AU25_R,0.685192842942346,0.7539278367029327,0.8682901800106533
AU26_R,0.44594831013916497,0.17189204983306208,0.41459866115686156
AU45_R,0.18848508946322068,0.06649647103852621,0.25786909671095953
