AU,Average,Variance,Std Dev
AU26_R,0.4060111317254174,0.23617634393541398,0.4859797772905926
AU45_R,0.1878787878787879,0.07214642589258927,0.2686008672595628
AU01_R,0.12179056237879766,0.022236959988493357,0.14912062227771636
AU02_R,0.06731092436974791,0.014708417493776297,0.12127826472116221
AU04_R,0.2953199741435036,0.07592206766675223,0.2755395936462712
AU05_R,0.05097608274078862,0.011743742635874133,0.10836855003124353
AU06_R,1.3415061409179057,0.16586260717442514,0.4072623321330186
AU07_R,0.7865223012281836,0.24210704397193247,0.4920437419294472
AU09_R,0.055753070458952815,0.009235574173942638,0.09610189474689164
AU10_R,0.24912734324499028,0.08113216165160461,0.2848370791375389
AU12_R,0.2246541693600517,0.08360122249715889,0.2891387599357078
AU14_R,0.0028054298642533936,0.0009812577195272576,0.031325033432181
AU15_R,0.21486748545572074,0.07614828449839485,0.2759497861901597
AU17_R,0.6316742081447964,0.2867907915917885,0.535528516133164
AU20_R,0.12122171945701357,0.028897018725890202,0.1699912313205896
AU23_R,0.1116742081447964,0.04168393518816622,0.20416643991647163
AU25_R,0.5058112475759534,0.25590184791998205,0.505867421287418
AU26_R,0.4472462831286361,0.17103885457058732,0.41356844000792337
AU45_R,0.16654815772462833,0.0612726825111575,0.24753319476619193
